,0
532,35.1
533,179.5
534,86.3
535,187.2
536,72.5
537,28.4
538,36.3
539,76.8
540,6.8
541,8.7
542,11.3
543,17.2
544,21.9
545,24.5
546,30.2
547,30.1
548,27.2
549,21.3
550,15.1
551,9.0
552,1.2
553,3.6
554,5.0
555,9.2
556,14.7
557,18.6
558,23.9
559,24.5
560,21.1
561,15.2
562,8.7
563,2.9
564,31.5
565,164.1
566,141.3
567,149.3
568,78.1
569,693.9
570,259.8
571,279.3
572,104.8
573,421.4
574,43.4
575,53.7
576,6.9
577,6.4
578,12.2
579,16.6
580,20.9
581,25.3
582,26.8
583,29.4
584,23.7
585,19.9
586,14.9
587,12.2
588,1.3
589,1.2
590,5.3
591,9.4
592,13.3
593,18.6
594,21.5
595,23.1
596,18.1
597,13.1
598,8.6
599,5.5
600,50.4
601,39.6
602,41.9
603,52.4
604,61.5
605,178.6
606,490.0
607,477.6
608,273.7
609,56.9
610,32.3
611,73.7
612,9.5
613,10.2
614,11.7
615,16.6
616,20.5
617,25.0
618,27.6
619,29.7
620,24.7
621,22.2
622,17.1
623,11.5
624,3.0
625,3.5
626,5.2
627,9.0
628,13.5
629,18.0
630,22.3
631,23.6
632,18.8
633,15.7
634,9.7
635,5.1
636,40.7
637,62.5
638,134.4
639,99.0
640,88.0
641,170.5
642,586.3
643,428.6
644,29.6
645,18.3
646,46.5
647,15.0
648,9.2
649,7.8
650,11.0
651,17.1
652,21.2
653,24.4
654,29.2
655,29.1
656,25.3
657,20.9
658,15.2
659,11.1
660,3.4
661,2.3
662,4.9
663,9.5
664,14.2
665,18.6
666,23.4
667,23.3
668,19.7
669,14.9
670,8.6
671,4.7
672,11.7
673,53.3
674,160.7
675,72.8
676,156.1
677,116.9
678,233.4
679,149.7
680,71.9
681,7.5
682,18.1
683,32.5
684,9.7
685,10.2
686,12.9
687,18.8
688,20.6
689,23.6
690,28.2
691,28.5
692,26.1
693,20.6
694,15.3
695,11.3
696,4.8
697,4.9
698,6.5
699,11.5
700,14.3
701,17.2
702,22.6
703,23.3
704,20.1
705,13.4
706,9.1
707,6.0
708,120.7
709,129.4
710,59.2
711,40.1
712,128.9
713,137.7
714,179.7
715,120.4
716,347.2
717,14.3
718,59.7
719,21.3
720,7.7
721,10.5
722,13.2
723,16.5
724,21.4
725,26.6
726,29.8
727,31.9
728,26.4
729,20.8
730,17.8
731,11.4
732,2.5
733,5.4
734,6.9
735,10.1
736,14.2
737,19.3
738,23.8
739,25.1
740,21.1
741,15.0
742,11.2
743,5.5
744,64.5
745,119.8
746,39.2
747,97.5
748,104.5
749,271.8
750,200.6
751,176.1
752,257.9
753,53.3
754,118.7
755,40.6
756,8.9
757,8.5
758,11.7
759,16.8
760,20.9
761,25.1
762,29.0
763,27.2
764,25.8
765,20.5
766,15.4
767,11.8
768,4.1
769,3.2
770,6.4
771,10.1
772,14.2
773,19.3
774,23.1
775,22.8
776,20.6
777,13.7
778,8.9
779,5.7
780,104.2
781,63.7
782,203.2
783,87.6
784,165.5
785,228.7
786,338.5
787,260.0
788,236.5
789,22.9
790,43.7
791,56.4
792,9.6
793,9.8
794,12.8
795,18.1
796,21.4
797,23.4
798,29.5
799,29.5
800,26.6
801,20.5
802,15.7
803,12.5
804,4.6
805,3.8
806,7.9
807,10.5
808,14.2
809,17.3
810,23.3
811,24.3
812,20.6
813,14.4
814,8.4
815,6.4
816,78.5
817,23.4
818,227.5
819,143.5
820,107.5
821,72.2
822,92.0
823,198.3
824,191.9
825,7.0
826,56.3
827,34.8
828,7.4
829,10.5
830,12.6
831,17.2
832,20.8
833,24.7
